"Biologia i Geologia","1ESO","COMP_ESPEC","CE1","Interpretar fenòmens de la naturalesa, predient i argumentant el seu comportament a partir de models, lleis i teories propis de la biologia i la geologia per apropiar-se de conceptes i processos propis de la ciència.","Interpretar fenòmens de la naturalesa, predient i argumentant el seu comportament a partir de models, lleis i teories propis de la.","","","","","","","","","","","","","","","","","","",""
"Biologia i Geologia","2ESO","COMP_ESPEC","CE1","Interpretar fenòmens de la naturalesa, predient i argumentant el seu comportament a partir de models, lleis i teories propis de la biologia i la geologia per apropiar-se de conceptes i processos propis de la ciència.","Interpretar fenòmens de la naturalesa, predient i argumentant el seu comportament a partir de models, lleis i teories propis de la.","","","","","","","","","","","","","","","","","","",""
"Biologia i Geologia","3ESO","COMP_ESPEC","CE1","Interpretar fenòmens de la naturalesa, predient i argumentant el seu comportament a partir de models, lleis i teories propis de la biologia i la geologia per apropiar-se de conceptes i processos propis de la ciència.","Interpretar fenòmens de la naturalesa, predient i argumentant el seu comportament a partir de models, lleis i teories propis de la.","","","","","","","","","","","","","","","","","","",""
"Biologia i Geologia","4ESO","COMP_ESPEC","CE1","Interpretar fenòmens de la naturalesa, predient i argumentant el seu comportament a partir de models, lleis i teories propis de la biologia i la geologia per apropiar-se de conceptes i processos propis de la ciència.","Interpretar fenòmens de la naturalesa, predient i argumentant el seu comportament a partir de models, lleis i teories propis de la.","","","","","","","","","","","","","","","","","","",""
"Ciències Socials","1ESO","COMP_ESPEC","CE1","Cercar i tractar informació que permeti interpretar el present i el passat, aplicant els procediments de la recerca històrica i geogràfica a partir de l’anàlisi crítica de dades procedents de fonts analògiques i digitals, per transformar-ho en coneixement i comunicar-ho a través de diferents formats.","Cercar i tractar informació que permeti interpretar el present i el passat, aplicant els procediments de la recerca històrica i.","","","","","","","","","","","","","","","","","","",""
"Ciències Socials","2ESO","COMP_ESPEC","CE1","Cercar i tractar informació que permeti interpretar el present i el passat, aplicant els procediments de la recerca històrica i geogràfica a partir de l’anàlisi crítica de dades procedents de fonts analògiques i digitals, per transformar-ho en coneixement i comunicar-ho a través de diferents formats.","Cercar i tractar informació que permeti interpretar el present i el passat, aplicant els procediments de la recerca històrica i.","","","","","","","","","","","","","","","","","","",""
"Ciències Socials","3ESO","COMP_ESPEC","CE1","Cercar i tractar informació que permeti interpretar el present i el passat, aplicant els procediments de la recerca històrica i geogràfica a partir de l’anàlisi crítica de dades procedents de fonts analògiques i digitals, per transformar-ho en coneixement i comunicar-ho a través de diferents formats.","Cercar i tractar informació que permeti interpretar el present i el passat, aplicant els procediments de la recerca històrica i.","","","","","","","","","","","","","","","","","","",""
"Ciències Socials","4ESO","COMP_ESPEC","CE1","Cercar i tractar informació que permeti interpretar el present i el passat, aplicant els procediments de la recerca històrica i geogràfica a partir de l’anàlisi crítica de dades procedents de fonts analògiques i digitals, per transformar-ho en coneixement i comunicar-ho a través de diferents formats.","Cercar i tractar informació que permeti interpretar el present i el passat, aplicant els procediments de la recerca històrica i.","","","","","","","","","","","","","","","","","","",""
"Educació Física","1ESO","COMP_ESPEC","CE1","Adquirir un estil de vida actiu i saludable incorporant la pràctica d’activitats físiques i d’hàbits beneficiosos per a la contribució del benestar físic, mental i social.","Adquirir un estil de vida actiu i saludable incorporant la pràctica d’activitats físiques i d’hàbits beneficiosos per a la contribució.","","","","","","","","","","","","","","","","","","",""
"Educació Física","2ESO","COMP_ESPEC","CE1","Adquirir un estil de vida actiu i saludable incorporant la pràctica d’activitats físiques i d’hàbits beneficiosos per a la contribució del benestar físic, mental i social.","Adquirir un estil de vida actiu i saludable incorporant la pràctica d’activitats físiques i d’hàbits beneficiosos per a la contribució.","","","","","","","","","","","","","","","","","","",""
"Educació Física","3ESO","COMP_ESPEC","CE1","Adquirir un estil de vida actiu i saludable incorporant la pràctica d’activitats físiques i d’hàbits beneficiosos per a la contribució del benestar físic, mental i social.","Adquirir un estil de vida actiu i saludable incorporant la pràctica d’activitats físiques i d’hàbits beneficiosos per a la contribució.","","","","","","","","","","","","","","","","","","",""
"Educació Física","4ESO","COMP_ESPEC","CE1","Adquirir un estil de vida actiu i saludable incorporant la pràctica d’activitats físiques i d’hàbits beneficiosos per a la contribució del benestar físic, mental i social.","Adquirir un estil de vida actiu i saludable incorporant la pràctica d’activitats físiques i d’hàbits beneficiosos per a la contribució.","","","","","","","","","","","","","","","","","","",""
"Educació Visual i Plàstica","1ESO","COMP_ESPEC","CE1","Descobrir les manifestacions artístiques contemporànies i del patrimoni cultural, interessant-se per la realitat patrimonial com a part de la pròpia cultura, per reconèixer-les com a testimoni del pensament i com a font d’aprenentatge, prenent consciència de la necessitat de conservar-les.","Descobrir les manifestacions artístiques contemporànies i del patrimoni cultural, interessant-se per la realitat patrimonial com a part.","","","","","","","","","","","","","","","","","","",""
"Educació Visual i Plàstica","2ESO","COMP_ESPEC","CE1","Descobrir les manifestacions artístiques contemporànies i del patrimoni cultural, interessant-se per la realitat patrimonial com a part de la pròpia cultura, per reconèixer-les com a testimoni del pensament i com a font d’aprenentatge, prenent consciència de la necessitat de conservar-les.","Descobrir les manifestacions artístiques contemporànies i del patrimoni cultural, interessant-se per la realitat patrimonial com a part.","","","","","","","","","","","","","","","","","","",""
"Educació Visual i Plàstica","3ESO","COMP_ESPEC","CE1","Descobrir les manifestacions artístiques contemporànies i del patrimoni cultural, interessant-se per la realitat patrimonial com a part de la pròpia cultura, per reconèixer-les com a testimoni del pensament i com a font d’aprenentatge, prenent consciència de la necessitat de conservar-les.","Descobrir les manifestacions artístiques contemporànies i del patrimoni cultural, interessant-se per la realitat patrimonial com a part.","","","","","","","","","","","","","","","","","","",""
"Educació Visual i Plàstica","4ESO","COMP_ESPEC","CE1","Descobrir les manifestacions artístiques contemporànies i del patrimoni cultural, interessant-se per la realitat patrimonial com a part de la pròpia cultura, per reconèixer-les com a testimoni del pensament i com a font d’aprenentatge, prenent consciència de la necessitat de conservar-les.","Descobrir les manifestacions artístiques contemporànies i del patrimoni cultural, interessant-se per la realitat patrimonial com a part.","","","","","","","","","","","","","","","","","","",""
"Educació en Valors Cívics i Ètics","1ESO","COMP_ESPEC","CE1","Indagar i analitzar aspectes vinculats a la construcció de la pròpia identitat i a les qüestions ètiques relatives al projecte vital, en un context social, analitzant de forma reflexiva i crítica la informació obtinguda, per promoure l’autoconeixement i la resolució de dilemes morals de forma autònoma i raonada.","Indagar i analitzar aspectes vinculats a la construcció de la pròpia identitat i a les qüestions ètiques relatives al projecte vital, en.","","","","","","","","","","","","","","","","","","",""
"Educació en Valors Cívics i Ètics","2ESO","COMP_ESPEC","CE1","Indagar i analitzar aspectes vinculats a la construcció de la pròpia identitat i a les qüestions ètiques relatives al projecte vital, en un context social, analitzant de forma reflexiva i crítica la informació obtinguda, per promoure l’autoconeixement i la resolució de dilemes morals de forma autònoma i raonada.","Indagar i analitzar aspectes vinculats a la construcció de la pròpia identitat i a les qüestions ètiques relatives al projecte vital, en.","","","","","","","","","","","","","","","","","","",""
"Educació en Valors Cívics i Ètics","3ESO","COMP_ESPEC","CE1","Indagar i analitzar aspectes vinculats a la construcció de la pròpia identitat i a les qüestions ètiques relatives al projecte vital, en un context social, analitzant de forma reflexiva i crítica la informació obtinguda, per promoure l’autoconeixement i la resolució de dilemes morals de forma autònoma i raonada.","Indagar i analitzar aspectes vinculats a la construcció de la pròpia identitat i a les qüestions ètiques relatives al projecte vital, en.","","","","","","","","","","","","","","","","","","",""
